f,Zdut_dq_11_re,Zdut_dq_11_im,Zdut_dq_11_abs,Zdut_dq_11_dB,Zdut_dq_11_pha_rad,Zdut_dq_11_pha_deg,Zdut_dq_12_re,Zdut_dq_12_im,Zdut_dq_12_abs,Zdut_dq_12_dB,Zdut_dq_12_pha_rad,Zdut_dq_12_pha_deg,Zdut_dq_21_re,Zdut_dq_21_im,Zdut_dq_21_abs,Zdut_dq_21_dB,Zdut_dq_21_pha_rad,Zdut_dq_21_pha_deg,Zdut_dq_22_re,Zdut_dq_22_im,Zdut_dq_22_abs,Zdut_dq_22_dB,Zdut_dq_22_pha_rad,Zdut_dq_22_pha_deg
17.0,-4.276085314943629,-77.18201721113982,77.30037960062913,37.763632532455446,-1.6261423572996188,-93.17109396072289,-6.308581536692227,-13.223487575170543,14.651239696891993,23.317487470923417,-2.0159354649698877,-115.50459391351778,-46.937269543569585,-12.138965048014757,48.48156087258978,33.71153187144858,-2.888516681353385,-165.49981489468382,29.85674935530548,14.00152133859601,32.97678095055206,30.364165188908583,0.43850597459144236,25.12454163536056
18.0,3.049208089089287,-83.18624069050585,83.24210659389477,38.40686124591135,-1.5341575326694148,-87.90075173016118,-6.651999833593019,-14.38129779854755,15.845214676886842,23.99796255100069,-2.004033704954491,-114.82267329585798,-46.568983090616186,-15.301749327513761,49.018503838613476,33.80720102834549,-2.824123994710123,-161.81038571851647,29.749518793420506,14.949382216147185,33.294412400349366,30.44742709216237,0.4656522914284749,26.679911019447452
19.0,10.186192951543097,-88.58290310489934,89.1666375352242,39.004047795003636,-1.4563086689978135,-83.44034040188912,-6.252253421528922,-15.628211461943405,16.832458713635372,24.522951158225386,-1.951356144842827,-111.80447142641295,-46.472595020572,-18.377646537276195,49.97439324489247,33.97495059827643,-2.7650137390291403,-158.42361754205697,29.657809985409052,15.531004883651175,33.47831844383205,30.495272720650828,0.4824064384214022,27.639852931483983
20.0,14.923224840280888,-91.45820077249704,92.66771351541999,39.338568947292515,-1.409051832764599,-80.73272313258502,-8.205805714309376,-17.689048796942444,19.49968447851409,25.8005516833028,-2.0051424813954823,-114.88620150635033,-43.535634655716834,-19.1952384470906,47.5794983571361,33.54839717694376,-2.726324755163398,-156.2069020529002,28.530521032325655,16.666319855926474,33.04174402049664,30.381259246628215,0.5286892028154228,30.291659995459725
21.0,23.862166972296254,-98.2386939691452,101.09522246563935,40.09461264577933,-1.3325112121429032,-76.34726860964984,-7.393998663266233,-17.641762936086018,19.12859157715071,25.633659889004385,-1.967675217944931,-112.73948544072897,-45.38958332486925,-23.494179301135745,51.10959533628851,34.17004884825259,-2.663955159543613,-152.6333874539489,29.85823325127297,17.3059744295377,34.51102496077501,30.75915715638815,0.5252880008640852,30.096785478376425
22.0,31.867567343568034,-102.17414625316408,107.02849158499716,40.58998809408167,-1.2684630666537209,-72.67758018747983,-7.464800482387497,-19.440209476117392,20.824144417410697,26.371343339698452,-1.9374232104849904,-111.0061730914761,-44.46321549089944,-25.807212996510113,51.410016285130666,34.22095482876696,-2.6156967689299586,-149.86838534569276,29.65106909914101,18.010629261947674,34.692487156924344,30.804708723741076,0.5458569574655183,31.275299880626292
23.0,38.031025453423176,-106.31279651596077,112.91044947250455,41.054682724813986,-1.227253854401825,-70.3164662483874,-8.583697158639046,-20.912135896991337,22.60524905161325,27.08418592406232,-1.960291464633045,-112.31642753899216,-43.91090825532936,-27.286374150655988,51.69829859964,34.26952501238309,-2.585584061367708,-148.14305429266412,29.439929311821984,19.247950710809533,35.1737550518967,30.924374697169196,0.5790449098085675,33.17682948056432
24.0,45.38570479436634,-109.01584355260904,118.08605482938407,41.44397226755591,-1.1762988392640177,-67.39695893596583,-8.065416178845668,-22.367742185377303,23.777443693750868,27.523303238307783,-1.9168674722693892,-109.82841604694637,-43.85442785689617,-28.78915309116809,52.45975770400035,34.396525607641536,-2.560681953802835,-146.71626862821608,29.290747914984337,20.081965211175405,35.513845752917526,31.007954081817246,0.6010013210634202,34.43483917872092
25.0,52.01527242758766,-110.88094934495274,122.47519542076321,41.76096282173722,-1.1321653228605606,-64.86829471097634,-8.829556133722544,-20.564305540316415,22.379716796109058,26.99709172904296,-1.9763568357729067,-113.23690550161751,-43.67206803620627,-29.335485993704904,52.610077599694584,34.4213788476118,-2.550098410645429,-146.10987627300216,29.420769676667863,23.58148177776984,37.70501254744295,31.527981792968433,0.6756701155914974,38.71304596650928
26.0,60.21865391897181,-112.940431783635,127.99151304397809,42.14362346164996,-1.0809509773981707,-61.93392886545642,-9.053598342954746,-23.43405449815136,25.122152638217155,28.001136999746393,-1.9394748461515048,-111.12372315626588,-40.703729839127774,-31.969285548474623,51.75740373411914,34.279449660699285,-2.475809013481271,-141.85340735292476,29.67207942095288,22.42567723580457,37.19332328050048,31.40929969942011,0.6471924822916252,37.08139776790539
27.0,67.36372277173597,-114.14357859269197,132.53915526972906,42.44688396628696,-1.0376386762482552,-59.45231680856664,-9.557484963791266,-25.382465772016236,27.122224973270022,28.66650628058008,-1.9309154597754858,-110.63330644169821,-39.66950492787409,-32.936392351278414,51.5604069256632,34.24632672478041,-2.4486650840263566,-140.29817475575732,29.36289633922152,23.34917003245777,37.5148426976909,31.484062595268895,0.6718029723195964,38.491474978256946
28.0,72.74891317811377,-117.96400444038412,138.59260698972255,42.83480128239848,-1.0181846849307659,-58.33768521139035,-11.353431518285223,-27.892492337123027,30.114639895188176,29.575553486630255,-1.9573590953374693,-112.14841515438192,-39.39083485564997,-33.694579888201545,51.83591982850777,34.29261618992736,-2.4339769409801737,-139.45660615032662,28.95520391817582,25.18219937526024,38.373780102024114,31.68069165067925,0.7158175519257914,41.0133246267345
29.0,80.77410546679901,-117.11180867988429,142.26606006435756,43.06202608533246,-0.9670045160153208,-55.405277537768704,-11.22612648787365,-27.81675494993338,29.99662934175074,29.541449134046385,-1.9543801658030528,-111.97773506459299,-37.289957294791755,-35.0198582158851,51.15595160397359,34.177923356623594,-2.3875782478462106,-136.7981568588279,29.72716165316335,25.59265681574628,39.226116591396995,31.87150629697314,0.7107986351511378,40.72576187781944
30.0,88.17286485214093,-118.86725553007857,147.99958963958957,43.40521022445199,-0.9325794561394127,-53.43286689739402,-10.571950311971651,-29.19440997502598,31.04963296383218,29.84112941538919,-1.9182295456238243,-109.90645710154273,-38.34036432541913,-37.06083561472954,53.32437597448167,34.538515636887865,-2.3731624683147703,-135.9721935332853,29.725860089728425,26.227944413687474,39.64255070302098,31.963231806581753,0.722965060007742,41.42284667386591
31.0,98.69146888213899,-116.86272478192473,152.96046049084086,43.691583647742235,-0.8694994903589155,-49.81865108634187,-10.636416537315323,-31.307400338087508,33.06488579572832,30.387340540273375,-1.8983029120298902,-108.7647450967067,-34.8158629604894,-37.91238043435513,51.473225116392804,34.23162760684224,-2.313643642290042,-132.56201600049496,29.42814893893434,27.10362211194792,40.00777776332215,32.042888582226475,0.7443023683617098,42.6453843887175
32.0,102.69554623134735,-118.51141960081274,156.8162357396539,43.90782049440672,-0.8567747837112741,-49.08957909988996,-14.114718610898471,-32.17881720765095,35.138320368911444,30.91561996279436,-1.9841580659170912,-113.68388306388952,-33.50502134817796,-39.04150260048648,51.44730683763392,34.22725290513028,-2.2800258486479463,-130.63585830826113,29.102242241044333,28.34938353360539,40.62792205111998,32.17649221083542,0.7722946940359888,44.24922650860939
33.0,107.444821368824,-117.15192264878797,158.9621420945443,44.025874129540476,-0.8285914156600805,-47.47479105809272,-14.867164900281459,-34.517933094753545,37.58351097630506,31.499946971602743,-1.9774921162313315,-113.30195228044893,-32.84522068506762,-39.357515800246084,51.26229190952561,34.19596038710441,-2.266243307970697,-129.84617689648738,28.891514734072715,29.645340833420775,41.3952395422327,32.33900800144548,0.7982752546800121,45.737802982895616
34.0,115.51933269022179,-118.29488167812138,165.3432649261375,44.36773018215363,-0.7972683511644015,-45.68011166107424,-16.343921043960435,-37.43071739061184,40.843388197688306,32.2224352434807,-1.9824885772882712,-113.58822841151306,-31.651516235258477,-42.15282130219793,52.713175048804096,34.4383835133134,-2.2148574513414285,-126.90198418496595,28.138653220796797,30.00292474798756,41.13343285593438,32.283899115141566,0.8174515249766905,46.83652233769737
35.0,121.47567283867329,-119.55125809772855,170.4372095651595,44.631288304469535,-0.7774141018548827,-44.542546970238284,-18.9073985244769,-39.069939273029725,43.40449140079424,32.750693433409694,-2.02151134988234,-115.82406858605196,-31.6383347257162,-42.11777094769913,52.67723278437572,34.43245905470869,-2.2150568759324134,-126.9134103723605,27.925174962113275,31.864811668779236,42.36958365798993,32.54108392909889,0.8511942978123449,48.76984081024904
36.0,124.33240727402737,-117.78517246947115,171.2655667442165,44.673401120820785,-0.7583632011583183,-43.451010764402305,-20.860084527426487,-40.920310367684124,45.930544598110025,33.24203189749491,-2.0422320275465276,-117.01127596486091,-30.147424319163264,-43.13399761162583,52.625174042842076,34.42387090303922,-2.180800372968621,-124.9506573316578,27.230650487252035,33.03118822589339,42.808500576092094,32.630600327331585,0.8813581032089913,50.49809955353082
